	mgm4472160.3	mgm4472167.3	mgm4472253.3	mgm4472255.3	mgm4472304.3	mgm4472305.3	mgm4472312.3	mgm4472337.3	mgm4472353.3	mgm4472361.3	mgm4472397.3	mgm4472419.3	mgm4472428.3	mgm4472444.3	mgm4472462.3	mgm4472464.3	mgm4472467.3	mgm4472473.3	mgm4472484.3	mgm4472495.3	mgm4472580.3	mgm4472586.3	mgm4472682.3	mgm4472751.3	mgm4472934.3	mgm4473326.3	mgm4473472.3	mgm4473666.3	mgm4478487.3	mgm4478571.3	median	mean	sd	F_stat	p	bonferroni_p	fdr_p
The_Chv_regulatory_system_of_Alphaproteobacteria	9093	6915	0	6739	7378	7412	3476	0	5787	0	0	4741	0	5572	3149	0	0	0	8169	6419	0	0	0	0	0	0	0	0	8274	2545	0	2855.63333333333	3386.23992961508	30.8797368664155	1.05320306758976e-07	7.98327925233039e-05	4.61461228458404e-07
Zinc_regulated_enzymes	76544	69069	62528	60853	56462	75466	52491	0	0	0	30812	66174	101534	32107	47145	0	0	0	79009	48257	0	0	0	54717	0	0	37059	36610	73992	36240	36834.5	36568.9666666667	32012.9369285599	30.6624043033231	1.12536731735418e-07	8.53028426554471e-05	4.90246222157742e-07
Divergent_RNA_modification_related_clusters	3523	3377	2964	2898	2989	2779	1931	0	1481	0	1932	0	3410	2547	1360	0	0	0	4522	2580	0	0	0	0	0	0	0	0	2740	0	680	1367.76666666667	1505.90663912048	30.3020356974555	1.2569931038288e-07	9.5280077270223e-05	5.44457584401275e-07
TCA_Cycle	160488	160269	158910	138703	131951	171516	234644	0	169783	0	146897	242147	424433	95441	215317	0	0	0	128637	129689	0	0	0	183133	0	0	107787	143038	144985	106350	130820	113137.266666667	99963.107061084	30.1549958873925	1.31536877319535e-07	9.97049530082078e-05	5.66505414819362e-07
DNA_replication_cluster_1	95007	93811	86526	75730	85694	99108	55152	0	0	0	35589	53413	101983	0	32412	0	0	0	99415	80189	0	0	0	72712	0	0	59507	30279	78149	58210	44501	43096.2	40113.0135048637	30.0327769615633	1.36610743869041e-07	0.000103550943852733	5.85033581088886e-07
CytR_regulation	1909	3340	3063	2007	3132	3003	782	0	1278	0	1299	1774	3813	1087	2729	0	516	0	2543	1851	0	0	0	2674	0	0	1283	1366	1565	1274	1291	1409.6	1211.57291894918	29.6016026932039	1.56258882519615e-07	0.000118444232949868	6.65417039044202e-07
Wyeosine-MimG_Biosynthesis	36934	34013	32039	33278	32454	37254	14242	0	0	0	2329	20114	0	0	14254	0	0	0	36986	15448	0	0	0	26371	0	0	10495	12309	31045	9937	10216	13316.7333333333	14643.1385837057	29.5718832578997	1.57720719600298e-07	0.000119552305457026	6.67889974620255e-07
Riboflavin,_FMN_and_FAD_metabolism	16796	21634	30346	27159	36910	23688	16599	0	24139	0	1501	0	32897	9270	745	0	0	0	42659	19938	0	0	0	14447	0	0	10193	13874	14953	10077	10135	12260.8333333333	12997.3204747359	29.4545566843067	1.63636852775375e-07	0.000124036734403734	6.89092968909634e-07
Streptococcus_pneumoniae_Vancomycin_Tolerance_Locus	5664	6761	4413	4894	7652	7595	3212	474	3234	393	2153	5501	6202	4428	353	74	883	629	5006	3231	186	193	205	5888	468	159	6487	3234	4319	6452	3234	3344.76666666667	2630.1158579874	29.0660040658806	1.84993711319858e-07	0.000140225233180452	7.74725045195869e-07
CBSS-269799.3.peg.2220	828	110	688	120	516	556	3921	0	785	0	3097	4684	5498	159	2678	0	0	0	219	434	0	0	0	1002	0	0	3366	2054	659	3483	475	1161.9	1614.18213197037	29.0138197508958	1.88082834667362e-07	0.00014256678867786	7.83334003724506e-07
Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate	104336	104688	103156	93623	109326	116753	0	0	0	0	51931	0	0	66931	63280	0	0	0	97435	100750	0	0	0	98663	0	0	62081	47213	93413	49338	48275.5	45430.5666666667	46505.5318620405	28.73845287881	2.05327842015459e-07	0.000155638504247718	8.50483629768951e-07
Glutamine,_Glutamate,_Aspartate_and_Asparagine_Biosynthesis	151311	149017	143898	143473	130847	153063	0	0	0	0	65280	0	0	92068	112116	0	0	0	158895	142651	0	0	0	112567	0	0	94390	92235	127208	92392	78674	65380.3666666667	65499.3669895621	28.6377276831232	2.12053702872085e-07	0.000160736706777041	8.73569058570873e-07
Sulfate_reduction-associated_complexes	931	1446	1450	980	1753	1726	0	0	0	0	0	0	0	0	891	0	0	0	1517	997	0	33	0	0	39	10	438	512	762	462	21.5	464.9	613.881565012396	28.4903943952698	2.22321517808454e-07	0.000168519710498808	9.10917354047613e-07
tRNA_aminoacylation,_Val	51532	50940	46469	47461	48577	58809	49554	24417	50497	20247	50948	77774	89136	31418	46992	0	21891	28992	55839	51034	15934	0	0	38790	15821	0	38102	42919	45351	36803	44135	37874.9	21970.2898107641	28.3692329306622	2.31165657564367e-07	0.00017522356843379	9.42062195880591e-07
At5g48545_and_At3g56490_At1g31160	3940	5227	3182	4296	3552	4864	2364	0	1733	0	0	0	4621	2651	1456	0	0	0	6358	2994	0	0	0	4407	0	0	3661	2005	4081	3542	2184.5	2164.46666666667	2048.37928757033	28.2319409593482	2.41646209317983e-07	0.000183167826663031	9.79507094454711e-07
Methionine_Degradation	122216	112023	108831	88041	120185	126456	68235	58625	122339	59507	74681	108482	121254	43002	67576	0	66719	79040	142087	121050	47521	0	0	79660	49384	0	72682	62660	101312	71213	73681.5	76492.7	40757.9777485129	27.4758959661725	3.09294135180304e-07	0.00023444495446667	1.24704763014186e-06
Competence_or_DNA_damage-inducible_protein_CinA_and_related_protein_families	53136	49182	42561	45550	54252	45810	34049	17990	36598	17302	32400	47862	71654	19337	35266	21060	0	22206	56407	42444	14086	16911	17138	36917	0	17603	32104	25821	45290	29914	33224.5	32695	16948.0017355317	27.1753698348592	3.41609928500992e-07	0.000258940325803752	1.37005463388229e-06
Trehalose_Uptake_and_Utilization	12946	11562	12096	10299	8859	13148	20132	0	13082	0	7911	19248	25432	8711	8792	0	6511	0	10963	8285	0	0	0	20684	0	0	11281	6813	14307	8794	8793	8661.86666666667	7139.98045362597	27.1435791226731	3.45234835348653e-07	0.000261688005194279	1.3773052904962e-06
Trans-translation_by_stalled_ribosomes	7612	7087	7029	7842	6219	7663	0	0	0	0	0	0	0	0	6962	0	0	0	7544	7423	0	0	0	6036	0	0	0	0	6381	0	0	2593.26666666667	3485.69121363061	27.05075450251	3.56057546221639e-07	0.000269891620036002	1.41304513107855e-06
Proteasome_bacterial	82106	80702	80162	75574	80061	87935	68198	37979	76623	31665	72524	105445	134517	46866	79377	38054	33039	43324	87844	78995	24569	32109	31549	64363	24695	31330	57174	64086	68342	56404	66280.5	62520.3666666667	26374.4956473868	26.377552342032	4.4634554980519e-07	0.000338329926752334	1.76213503516841e-06
Teichoic_and_lipoteichoic_acids_biosynthesis	0	0	0	0	0	0	5889	0	0	0	6798	9327	11196	0	5526	0	0	0	0	0	0	0	0	10171	0	0	0	5319	0	8775	0	2100.03333333333	3714.88419537641	26.3433345093543	4.51548316077019e-07	0.00034227362358638	1.77343846417814e-06
Unknown_oligosaccharide_utilization_Sde_1396	4	6	2	0	0	0	0	4121	0	2519	0	0	0	0	0	1882	2193	4271	0	0	2993	2555	2872	0	0	0	0	0	0	0	0	780.6	1381.84084117702	26.1143162281745	4.88091966281346e-07	0.00036997371044126	1.90708098165598e-06
Histidine_Degradation	0	0	0	0	0	0	5665	0	0	0	9119	11266	10191	0	6414	0	0	0	0	0	0	0	0	0	0	0	6556	8329	0	4737	0	2075.9	3679.7617084581	26.0263789010379	5.02957138620772e-07	0.000381241511074545	1.95508467217715e-06
V-Type_ATP_synthase	23735	17346	9350	16610	21655	22301	15207	0	14483	0	0	0	30526	11677	11199	0	0	0	25607	17407	0	0	0	6795	0	0	14025	19486	18664	13684	11438	10325.2333333333	9732.67037348181	25.9740983264525	5.12024714370222e-07	0.000388114733492628	1.98017721169708e-06
CBSS-176279.3.peg.868	26257	24148	21612	24539	26897	26403	22289	10652	23495	9914	23999	35324	41122	16069	21323	11866	10135	13291	26575	25118	10586	0	9435	17827	0	9149	17905	19357	22529	17842	20340	18855.2666666667	9221.44622113014	25.7641823869123	5.50240225233088e-07	0.000417082090726681	2.11269742107912e-06
Novel_non-oxidative_pathway_of_Uracil_catabolism	22014	20215	22547	22315	20906	23407	0	0	15142	0	0	5579	35139	9662	5743	0	0	0	25344	22250	0	0	0	19940	0	0	11096	0	17982	15983	7702.5	10508.8	10875.306259342	25.755604834026	5.5186555326341e-07	0.000418314089373665	2.11269742107912e-06
Sugar_utilization_in_Thermotogales	279380	244708	225786	210059	314248	278840	108466	0	0	0	104521	0	290830	132108	154467	0	0	0	281374	215980	0	0	0	0	0	0	208478	124200	240180	198691	116333	120410.533333333	118181.344552588	25.3824008043823	6.27826138774966e-07	0.000475892213191424	2.39141815674082e-06
Late_competence	7295	11010	9482	5668	9868	9894	3754	0	5010	11	4100	8412	9963	5012	2580	0	0	7	7563	4742	0	2	3	0	0	0	0	5275	5672	0	3927	3844.1	3921.26117423358	25.1701771794576	6.75970414796347e-07	0.000512385574415631	2.56192787207815e-06
Phosphoenolpyruvate_phosphomutase	0	0	0	0	0	0	0	5081	0	4956	0	0	0	0	0	7354	5430	5850	0	0	4903	5404	0	0	15915	9004	0	0	0	0	0	2129.9	3804.14863691262	24.9144565000457	7.39311597129723e-07	0.00056039819062433	2.78805069962353e-06
Alkylphosphonate_utilization	3920	4091	4109	3398	4127	4377	2729	0	3205	0	0	4004	5957	2684	0	0	0	0	4356	3559	0	0	0	3134	0	0	0	2169	3113	0	2426.5	1964.4	1976.21104903925	24.7964106777072	7.70676127359682e-07	0.000584172504538639	2.89194309177544e-06
Adenosyl_nucleosidases	22206	19412	17598	12031	18989	22109	0	0	0	0	0	15854	19262	8376	10382	0	0	0	22600	11718	0	0	0	8425	0	0	9386	9810	18206	9082	8753.5	8514.86666666667	8542.6148412788	24.4518037348773	8.70699280087126e-07	0.000659990054306042	3.2511825335273e-06
Alkaloid_biosynthesis_from_L-lysine	831	174	515	225	710	802	2966	0	549	32	2943	2903	0	230	2102	0	0	0	404	461	0	0	0	1388	0	0	2784	1872	666	2703	432.5	842	1064.8247386955	24.3209070710449	9.12272699590733e-07	0.000691502706289776	3.38971914847929e-06
Butanol_Biosynthesis	80025	57842	52176	57974	73106	75292	39336	36016	63086	32645	37441	68578	85106	42022	35386	29145	34718	44434	78655	66342	26252	26719	28754	40142	27783	27036	37592	41612	66485	32475	40877	48139.1666666667	18718.92353979	23.5632128804337	1.19887667155068e-06	0.000908748517035413	4.4329195952947e-06
D-gluconate_and_ketogluconates_metabolism	18997	22663	16208	15459	18230	22660	12539	0	12806	0	14580	20616	27137	11410	12773	0	18556	0	14208	16405	0	0	0	21743	0	0	7003	11366	17190	6806	12789.5	11311.8333333333	8670.10203210587	23.424216899317	1.26125648845897e-06	0.000956032418251899	4.64093406918398e-06
G3E_family_of_P-loop_GTPases_(metallocenter_biosynthesis)	36039	39612	40511	33354	32282	40461	0	0	0	0	12889	42650	0	20613	41052	0	0	0	46155	33962	0	0	0	26048	0	0	27498	20602	30453	25478	20607.5	18321.9666666667	17660.1478485695	23.0974081446209	1.4220878548202e-06	0.00107794259395372	5.20745214470394e-06
Aromatic_amino_acid_degradation	10937	7504	10122	8661	9215	9514	3893	0	9999	0	9283	12698	14468	6419	5258	8197	5780	0	11176	10843	0	0	0	6609	0	0	4260	7404	8906	3959	7006.5	6170.16666666667	4480.34192878742	23.0715839720793	1.43570419729393e-06	0.0010882637815488	5.2320374112923e-06
At2g33980_At1g28960	20238	19971	16928	18071	16437	20524	0	0	0	0	0	0	0	0	16748	0	0	0	20991	18503	0	0	0	15438	0	0	13699	0	17084	13058	0	7589.66666666667	8976.40875634123	22.7670822615877	1.60725779274045e-06	0.00121830140689726	5.80143527093933e-06
tRNA_nucleotidyltransferase	20238	19971	16928	18071	16437	20524	0	0	0	0	0	0	0	0	16748	0	0	0	20991	18503	0	0	0	15438	0	0	13699	0	17084	13058	0	7589.66666666667	8976.40875634123	22.7670822615877	1.60725779274045e-06	0.00121830140689726	5.80143527093933e-06
Glyoxylate_bypass	22975	18403	20255	17043	14352	20405	45214	0	23455	0	40734	46279	90560	13803	50325	0	0	0	15471	13811	0	0	0	34643	0	0	21665	23936	21085	21055	17723	19182.3	20368.0715931611	22.6548910425882	1.67590965994145e-06	0.00127033952223562	6.02056645609299e-06
tRNA_aminoacylation,_Ala	48101	44437	39259	42504	42948	49769	0	0	0	0	0	0	0	28765	39817	0	0	0	47747	44929	0	0	0	33873	0	0	31861	35610	41151	0	0	19025.7	21118.3599091341	22.5919601966118	1.71579158359679e-06	0.00130057002036637	6.13476424701117e-06
Translation_elongation_factors_eukaryotic_and_archaeal	10257	9166	8666	9410	9397	10578	10360	5151	9812	4877	11081	16181	18470	6485	9601	0	4821	6267	10340	10008	3976	4957	0	8618	3834	0	8379	9171	8669	8096	8667.5	7887.6	4129.39847502239	22.4475073725457	1.81124552323284e-06	0.00137292410661049	6.44565308267837e-06
Glutathione:_Non-redox_reactions	12928	6388	6133	5376	6351	6555	3649	0	4991	0	435	277	8266	4208	4789	0	4636	0	7226	6248	0	0	0	4700	0	0	0	3228	10570	0	3928.5	3565.13333333333	3624.11694579267	22.4013008369314	1.84297047501483e-06	0.00139697162006124	6.52790476664132e-06
LOS_core_oligosaccharide_biosynthesis	80590	82595	80764	72133	85531	90101	0	0	0	0	27371	0	0	0	41651	0	13764	0	84317	0	0	0	0	41499	0	0	0	0	67244	0	0	25585.3333333333	35653.912772009	22.3493369321843	1.87936292450038e-06	0.00142455709677129	6.62584696172693e-06
CBSS-83332.1.peg.3803	0	2978	0	0	0	0	8210	0	0	10913	0	11089	10278	0	5666	13203	11945	12474	0	0	9876	7972	9713	4687	13396	9660	2819	5140	0	2787	3832.5	5093.53333333333	5060.50976533565	22.2845493721686	1.92582098431686e-06	0.00145977230611218	6.75820512088972e-06
EcsAB_transporter_affecting_expression_and_secretion_of_secretory_preproteins	2703	4057	2147	3256	2241	3588	1869	0	1060	0	0	0	3526	1693	1013	0	0	10	4920	1976	0	0	0	3454	0	0	2865	1437	3114	2808	1565	1591.23333333333	1550.85986568371	22.1508968955429	2.02560454198881e-06	0.00153540824282752	7.07561402224663e-06
Staphylococcal_pathogenicity_islands_SaPI	84159	80692	74718	63453	74164	88215	64772	35729	81078	33416	63550	95023	125270	33945	66178	39018	33488	43529	88399	79838	26070	31464	31889	64808	25548	31583	52161	50881	70984	52058	63501.5	59536	24862.4001892901	22.0041327997578	2.14161104884051e-06	0.0016233411750211	7.44651915147296e-06
Iron-sulfur_cluster_assembly	103621	112874	106957	86986	109283	124285	55762	0	0	0	50909	80729	128592	43735	67403	0	48965	60115	118702	89365	0	0	0	84371	0	0	51580	39631	102107	50833	53671	57226.8333333333	45213.5228314863	21.9393880394782	2.19503771234169e-06	0.001663838585955	7.59743646554794e-06
DNA_repair,_bacterial_UmuCD_system	21269	23939	22073	19303	22103	25870	19683	10058	19794	8914	19910	32114	35473	12987	17848	10755	10058	12613	26558	21236	6489	8554	9264	14786	8143	9523	17120	17232	18282	16364	17540	17277.1666666667	7244.85510710797	21.575405318769	2.52330325485202e-06	0.00191266386717783	8.69392666899013e-06
CBSS-224911.1.peg.435	2334	2758	3125	2057	2369	2853	2423	0	2413	0	2340	0	5741	1545	3112	0	0	0	1980	2207	0	0	0	2741	0	0	1112	1933	2070	1165	1956.5	1542.6	1420.70353140194	21.4208680865055	2.6782921851994e-06	0.00203014547638115	9.18617862615903e-06
Photorespiration_(oxidative_C2_cycle)	86287	79897	71521	66667	67372	88427	77429	0	0	0	54833	85545	142867	42198	56195	55579	0	0	75423	74123	0	0	0	78318	0	0	45070	57374	75476	44006	55887	47486.9	38563.9064575351	21.2446636162408	2.86758546996742e-06	0.0021736297862353	9.79112516322208e-06
N-linked_Glycosylation_in_Bacteria	27995	25115	31490	28312	26407	29899	0	0	0	0	0	5966	8500	0	3490	0	0	0	29741	0	0	0	0	0	0	0	0	0	24195	23576	0	8822.86666666667	12607.3861704389	21.2160782418063	2.89962599830591e-06	0.00219791650671588	9.85612783280664e-06
CBSS-83331.1.peg.3039	0	0	0	0	0	0	22469	0	0	0	13316	17726	46511	25612	25303	0	0	0	0	0	0	0	0	34319	0	0	0	20121	0	0	0	6845.9	12638.9250480001	20.8518031211532	3.3433905532973e-06	0.00253429003939935	1.13137948187471e-05
Osmoregulation	5377	5573	6379	4457	12481	14139	2039	0	4967	0	239	0	2551	3135	745	0	0	0	4115	4846	0	0	0	7748	0	0	4952	1043	9891	4859	2295	3317.86666666667	3891.82784583404	20.7254863818411	3.51387159943997e-06	0.0026635146723755	1.18378429883355e-05
Flavodoxin	0	0	0	0	0	0	0	0	4664	0	3442	4833	6597	2982	3799	0	0	0	0	0	0	0	0	2936	0	0	2826	3907	0	2865	0	1295.03333333333	1978.93378612956	20.69832213127	3.5517393789306e-06	0.0026922184492294	1.18673414253195e-05
ATP-dependent_RNA_helicases,_bacterial	0	44524	39072	36563	42462	47742	0	0	0	0	0	0	0	23664	0	0	0	0	46717	37001	0	0	0	0	0	0	21981	0	35377	22084	0	13239.5666666667	18572.8143034537	20.6967531185874	3.55393997829488e-06	0.00269388650354752	1.18673414253195e-05
Staphylococcal_accessory_gene_regulator_system	5765	7027	7826	6090	5947	6208	5222	0	0	0	1637	2353	10729	3987	5110	0	0	0	8134	5281	0	0	0	6567	0	0	5664	0	6092	5458	4548.5	3503.23333333333	3298.06626398094	20.6844676592995	3.5712215079365e-06	0.00270698590301587	1.18690952071628e-05
Hydrogenases	16784	20898	23154	20851	23221	23113	0	0	23719	0	0	0	16891	0	0	0	0	0	23938	21857	15814	0	0	0	22656	0	13680	11870	14130	13214	12542	10193	10188.1357301114	20.6741660079721	3.58578206126688e-06	0.00271802280244029	1.18690952071628e-05
Propionate-CoA_to_Succinate_Module	22656	15584	16141	13625	8864	17937	37041	0	24377	0	28043	31317	56286	12848	25671	0	0	0	8163	10545	0	0	0	24597	0	0	9790	17710	21997	9602	11696.5	13759.8	13666.8405485434	20.6051783055134	3.68494911513019e-06	0.00279319142926868	1.21443105620377e-05
Cluster_containing_CofD-like_protein_and_co-occuring_with_DNA_repair	22313	21224	0	22555	19515	21001	0	0	0	0	0	0	0	0	0	0	0	0	22968	0	0	0	0	0	0	0	0	0	17626	0	0	4906.73333333333	9087.424687098	20.521603707082	3.80904693936921e-06	0.00288725758004186	1.24989505629518e-05
DNA_gyrase_subunits	85957	83247	75117	83222	76930	91710	80411	43551	80547	37973	83221	129371	142138	54129	73615	44548	41445	53001	89403	85622	27596	36685	0	60870	26973	37139	65321	68571	72256	63999	70413.5	66485.6	29451.0869158362	19.8564397196447	4.97256027411081e-06	0.003769200687776	1.62465546886896e-05
Cold_shock,_CspA_family_of_proteins	1766	1923	1958	1110	2086	2057	1937	2	1607	0	2097	1887	4067	1201	2124	30	1781	0	1675	1708	43	46	0	1327	22	0	1301	1656	1551	516	1579	1249.26666666667	986.109839770375	19.8278086784318	5.03054017156701e-06	0.0038131494500478	1.63654482834669e-05
Trehalose_Biosynthesis	47652	45564	25485	40479	39712	52396	30557	0	28552	0	45053	65622	80339	18406	25495	0	39095	0	45396	44060	0	0	0	26881	0	0	23245	34222	41879	22942	27716.5	27434.4	22089.681527184	19.5761868876585	5.57246659252486e-06	0.00422392967713384	1.8050981526213e-05
Streptococcus_pyogenes_Virulome	22469	19923	16340	14701	21643	22201	0	0	0	0	8939	11753	0	0	8540	0	0	0	22988	0	0	17	0	0	0	0	9223	6064	18267	9266	8.5	7077.8	8718.07434606108	19.3985100799338	5.99275842281341e-06	0.00454251088449257	1.93298335510322e-05
riboflavin_to_FAD	13366	11953	10717	10756	17579	12871	0	0	14489	0	0	0	24244	7251	0	0	0	0	21727	11655	0	0	0	9329	0	0	9477	0	11842	9326	3625.5	6552.73333333333	7429.754880318	19.3548553656384	6.10115163879213e-06	0.00462467294220443	1.95960717890018e-05
Pterin_metabolism	10121	9506	8713	8280	7684	9444	7749	0	0	4923	8624	12405	18294	5642	9101	0	4998	0	9574	9437	4638	0	0	8038	0	0	7170	7615	8856	7094	7649.5	6263.53333333333	4550.07279012131	19.1071498851462	6.75744527728731e-06	0.00512214352018378	2.16124199163873e-05
Xanthine_Metabolism_in_Bacteria	14586	19715	20300	0	16445	20408	0	0	0	0	0	0	0	0	0	0	0	0	21380	0	0	0	0	0	0	0	0	0	12371	0	0	4173.5	7852.19074087191	18.9897004437221	7.09477828541786e-06	0.00537784194034674	2.2595974539272e-05
Type_VI_secretion_systems	60375	55019	44656	50633	53421	61323	54127	29279	55294	24573	53753	78556	103223	29134	55318	31878	29645	35511	56513	53061	0	0	0	43943	0	0	34797	42338	53098	34235	44299.5	40790.1	24277.8357700869	18.6622614848379	8.13442885067064e-06	0.00616589706880834	2.57987325054742e-05
Pyruvate:ferredoxin_oxidoreductase	27761	19515	19440	24406	24248	24483	12974	30883	29528	26339	15232	27511	16912	14135	12728	34037	28386	36989	31588	28407	21975	29436	25490	5035	20383	28562	14728	18762	21894	14454	24327	22874.0333333333	7405.43824628497	18.5870093831138	8.39578130387503e-06	0.00636400222833728	2.65166759514053e-05
Prophage-encoded_Exotoxins	316	263	259	259	209	206	101	0	116	0	288	94	294	0	185	0	0	6	331	0	0	0	0	137	0	0	67	55	249	45	80.5	116	120.577346760178	18.5670481075185	8.46661086905012e-06	0.00641769103873999	2.66294233972614e-05
Exopolysaccharide_Biosynthesis	8603	10056	8810	6534	9347	9496	2540	0	3490	0	2312	3625	8270	0	1843	0	0	0	0	3890	0	0	0	8203	0	0	6548	4538	7833	7293	3015	3774.36666666667	3782.67888546923	18.4972170083654	8.71948999431268e-06	0.00660937341568901	2.73114603954091e-05
Ribosome_SSU_bacterial	148026	134040	126821	136906	138633	152222	141681	78728	141035	74057	131496	201034	254208	83087	131052	0	69844	96650	148231	131163	63299	78918	0	119733	61077	0	108209	121268	126217	101872	123742.5	109983.566666667	54670.6203137975	18.3951514265627	9.1038030095621e-06	0.00690068268124807	2.8354111862401e-05
Experimental_-_Histidine_Degradation	72681	62035	56549	52911	60865	68549	40477	0	54890	0	29687	42461	74471	24676	26781	52984	46146	56013	74956	64973	0	0	0	39332	0	0	26427	26064	60168	24112	41469	37940.2666666667	25994.5946714569	18.3890927285195	9.12718112721089e-06	0.00691840329442586	2.8354111862401e-05
Phosphonate_metabolism	0	0	0	0	0	0	0	5081	0	8445	0	0	0	0	0	7018	9209	0	0	0	8039	5404	0	0	0	5869	0	0	0	0	0	1635.5	3102.95010628095	18.2485794453711	9.68785993197653e-06	0.00734339782843821	2.99730523609723e-05
Arginine_and_Ornithine_Degradation	95580	99437	97963	88488	106667	113859	68886	55273	94021	0	47370	73633	156778	50683	77590	0	61743	66114	98329	100576	47609	0	0	80537	36237	0	41629	56197	79626	41663	67500	64549.6	39069.8841825949	18.1741395379583	9.99978651927503e-06	0.00757983818161047	3.08123503317499e-05
Glutathione-dependent_pathway_of_formaldehyde_detoxification	6735	4252	4388	3519	4114	5038	4776	0	6596	0	1571	2849	10574	3264	4331	0	508	0	1581	4848	17	0	0	6680	0	0	1604	2673	6561	1648	2761	2937.56666666667	2772.97233386268	18.120940807962	1.02293078125041e-05	0.00775381532187811	3.13919648659033e-05
Fructooligosaccharides(FOS)_and_Raffinose_Utilization	46674	39609	37643	28836	44435	45769	10701	0	23034	0	6301	14734	21899	25616	7308	0	35490	0	46418	32598	32783	0	0	0	0	0	36640	15373	37170	36237	22466.5	20842.2666666667	17566.8275194712	17.8586863163954	1.14465537822809e-05	0.00867648776696894	3.4985837770036e-05
COG1836	0	35569	33203	34249	32889	39901	11673	0	0	0	13316	17726	38192	0	13229	0	0	0	37893	34416	0	0	0	30171	0	0	15817	10198	32707	15353	12451	14883.4	15559.2142444099	17.7298244327885	1.21008826085965e-05	0.00917246901731617	3.68372249691412e-05
Purine_nucleotide_synthesis_regulator	0	3294	3681	2180	3314	3229	725	0	1798	0	1274	0	3717	1169	2637	0	0	0	3066	2360	0	0	0	0	0	0	1129	0	1921	1105	915	1219.96666666667	1371.958843339	17.5963576610756	1.28211599183961e-05	0.00971843921814426	3.88737568725771e-05
USS-DB-7	60048	54815	42400	50633	53255	61179	54001	29279	55265	24573	53753	78556	102861	29098	54708	31878	29087	35511	56338	52854	0	0	0	43760	0	0	31434	42202	52849	30904	43080	40374.7	24270.1739208493	17.5285895432406	1.32043920264029e-05	0.0100089291560134	3.98762117769459e-05
D-Tagatose_and_Galactitol_Utilization	20165	17379	0	12770	19134	19945	0	0	0	0	0	0	0	8009	0	0	0	0	21186	14143	0	0	0	0	0	0	13191	0	16372	12887	0	5839.36666666667	8166.01750521038	17.219811740963	1.51131659473671e-05	0.0114557797881042	4.54594436035883e-05
SeqA_and_Co-occurring_Genes	16720	12955	12956	14013	12125	15373	17552	0	15968	0	0	0	28533	9358	16112	0	6633	0	16014	15248	0	0	0	11826	0	0	12723	0	13664	12600	11975.5	8679.1	7964.6737160695	17.1664884466925	1.54718133371709e-05	0.0117276345095755	4.63542865991127e-05
Fratricide_in_Streptococcus	1216	3789	2201	736	2708	2716	475	0	1885	0	441	1348	910	990	373	0	0	0	751	321	0	37	0	1602	0	0	1529	530	1661	1551	633	925.666666666667	999.677062798311	16.9705527574885	1.68702447453125e-05	0.0127876455169468	5.03103148298941e-05
Na+_translocating_decarboxylases_and_related_biotin-dependent_enzymes	22427	23750	20404	20528	25950	28421	10544	44679	20300	39410	12555	23539	30157	11838	15963	57608	41587	50597	28165	21944	40295	0	44264	10519	40271	44442	11208	17183	18647	11151	22983	26278.2	14172.3050114627	16.9632432349951	1.692497398631e-05	0.012829130281623	5.03103148298941e-05
Pterin_metabolism_3	0	0	0	8280	0	0	7749	0	0	0	8624	12405	18294	5642	9101	0	0	0	0	9437	0	0	0	8038	0	0	7170	7615	0	0	0	3411.83333333333	4982.86353127038	16.7340864535148	1.87412429946209e-05	0.0142058621899227	5.54916491793854e-05
Serine_endopeptidase_(EC_3.4.21.-)	4490	2462	3738	2365	2011	3506	11038	0	4659	0	9457	0	17653	1937	7035	0	0	0	1645	3203	0	0	0	5413	0	0	7999	5749	4238	8067	2413.5	3555.5	4164.97827746126	16.6690636585934	1.92939500831106e-05	0.0146248141629978	5.69058916848164e-05
SecY2-SecA2_Specialized_Transport_System	3888	2904	3038	2783	3293	5128	2029	0	1776	334	7252	6158	8279	2344	4891	18	0	58	4958	2803	0	405	107	10550	3	72	2701	1756	2940	2408	2554.5	2762.53333333333	2712.14599766378	16.522755013906	2.06026721671297e-05	0.0156168255026843	6.05303314057533e-05
Streptolysin_S_Biosynthesis_and_Transport	1527	1474	1295	0	1690	1587	0	0	1158	0	0	0	0	1145	0	0	0	0	1291	0	470	0	0	0	0	0	792	0	1213	702	0	478.133333333333	638.661355051941	16.3702666976477	2.20687645645735e-05	0.0167281235399467	6.45873495750839e-05
Ribosome_LSU_bacterial	155098	159453	150906	134078	172775	175122	140207	82434	136613	78843	126685	174887	253712	82625	123247	92143	84781	98683	154742	139109	74023	83772	0	132284	70646	0	102518	112675	148797	106808	124966	118255.533333333	51201.3423751379	16.3063606463205	2.27161654564856e-05	0.0172188534160161	6.62263592923695e-05
LMPTP_YwlE_cluster	53590	51775	50543	53933	54199	56003	39938	0	56170	30275	40204	61145	91333	30829	38396	34850	31541	36820	59863	56839	24766	24218	0	40537	24814	0	41867	33537	45589	41022	40370.5	40153.2	19463.8927431601	16.10991092097	2.48373360396073e-05	0.0188267007180223	7.21329529426143e-05
